 ,Zone-Slot, REF TIME, RUN TIME, TEST TIME, FillRatio (RUN), FillRatio (TEST), L/T RD, L/T SocketOff, L/T InStandby, L/T OutReady, L/T STOP, L/T UserStop, L/R RD, L/R SocketOff, L/R Instandby, L/R OutReady, L/R STOP, L/R UserStop, Output, Yield
,Zone-AVR,33,0,0,0.00,0.00,0,0,0,0,33,0,0.00,0.00,0.00,0.00,100.00,0.00,0,0.00,
,Slot_1,33,0,0,0.00,0.00,0,0,0,0,33,0,0.00,0.00,0.00,0.00,100.00,0.00,0,0.00,
,Slot_2,33,0,0,0.00,0.00,0,0,0,0,33,0,0.00,0.00,0.00,0.00,100.00,0.00,0,0.00,
,Slot_3,33,0,0,0.00,0.00,0,0,0,0,33,0,0.00,0.00,0.00,0.00,100.00,0.00,0,0.00,
,Slot_4,33,0,0,0.00,0.00,0,0,0,0,33,0,0.00,0.00,0.00,0.00,100.00,0.00,0,0.00,
,Slot_5,33,0,0,0.00,0.00,0,0,0,0,33,0,0.00,0.00,0.00,0.00,100.00,0.00,0,0.00,
,Slot_6,33,0,0,0.00,0.00,0,0,0,0,33,0,0.00,0.00,0.00,0.00,100.00,0.00,0,0.00,
,Slot_7,33,0,0,0.00,0.00,0,0,0,0,33,0,0.00,0.00,0.00,0.00,100.00,0.00,0,0.00,
,Slot_8,33,0,0,0.00,0.00,0,0,0,0,33,0,0.00,0.00,0.00,0.00,100.00,0.00,0,0.00,
,Slot_9,33,0,0,0.00,0.00,0,0,0,0,33,0,0.00,0.00,0.00,0.00,100.00,0.00,0,0.00,
,Slot_10,33,0,0,0.00,0.00,0,0,0,0,33,0,0.00,0.00,0.00,0.00,100.00,0.00,0,0.00,
,Slot_11,33,0,0,0.00,0.00,0,0,0,0,33,0,0.00,0.00,0.00,0.00,100.00,0.00,0,0.00,
,Slot_12,33,0,0,0.00,0.00,0,0,0,0,33,0,0.00,0.00,0.00,0.00,100.00,0.00,0,0.00,
,Slot_13,33,0,0,0.00,0.00,0,0,0,0,33,0,0.00,0.00,0.00,0.00,100.00,0.00,0,0.00,
,Slot_14,33,0,0,0.00,0.00,0,0,0,0,33,0,0.00,0.00,0.00,0.00,100.00,0.00,0,0.00,
,Slot_15,33,0,0,0.00,0.00,0,0,0,0,33,0,0.00,0.00,0.00,0.00,100.00,0.00,0,0.00,
,Slot_16,33,0,0,0.00,0.00,0,0,0,0,33,0,0.00,0.00,0.00,0.00,100.00,0.00,0,0.00,
,Slot_17,33,0,0,0.00,0.00,0,0,0,0,33,0,0.00,0.00,0.00,0.00,100.00,0.00,0,0.00,
,Slot_18,33,0,0,0.00,0.00,0,0,0,0,33,0,0.00,0.00,0.00,0.00,100.00,0.00,0,0.00,
,Slot_19,33,0,0,0.00,0.00,0,0,0,0,33,0,0.00,0.00,0.00,0.00,100.00,0.00,0,0.00,
,Slot_20,33,0,0,0.00,0.00,0,0,0,0,33,0,0.00,0.00,0.00,0.00,100.00,0.00,0,0.00,
