 ,Zone-Slot, REF TIME, RUN TIME, TEST TIME, FillRatio (RUN), FillRatio (TEST), L/T RD, L/T SocketOff, L/T InStandby, L/T OutReady, L/T STOP, L/T UserStop, L/R RD, L/R SocketOff, L/R Instandby, L/R OutReady, L/R STOP, L/R UserStop, Output, Yield
,Zone-AVR,26,0,0,0.00,0.06,0,0,0,0,26,0,0.00,0.00,0.00,0.00,99.94,0.00,0,0.00,
,Slot_1,26,0,0,0.00,0.06,0,0,0,0,26,0,0.00,0.00,0.00,0.00,99.94,0.00,0,0.00,
,Slot_2,26,0,0,0.00,0.06,0,0,0,0,26,0,0.00,0.00,0.00,0.00,99.94,0.00,0,0.00,
,Slot_3,26,0,0,0.00,0.06,0,0,0,0,26,0,0.00,0.00,0.00,0.00,99.94,0.00,0,0.00,
,Slot_4,26,0,0,0.00,0.06,0,0,0,0,26,0,0.00,0.00,0.00,0.00,99.94,0.00,0,0.00,
,Slot_5,26,0,0,0.00,0.06,0,0,0,0,26,0,0.00,0.00,0.00,0.00,99.94,0.00,0,0.00,
,Slot_6,26,0,0,0.00,0.06,0,0,0,0,26,0,0.00,0.00,0.00,0.00,99.94,0.00,0,0.00,
,Slot_7,26,0,0,0.00,0.06,0,0,0,0,26,0,0.00,0.00,0.00,0.00,99.94,0.00,0,0.00,
,Slot_8,26,0,0,0.00,0.06,0,0,0,0,26,0,0.00,0.00,0.00,0.00,99.94,0.00,0,0.00,
,Slot_9,26,0,0,0.00,0.06,0,0,0,0,26,0,0.00,0.00,0.00,0.00,99.94,0.00,0,0.00,
,Slot_10,26,0,0,0.00,0.06,0,0,0,0,26,0,0.00,0.00,0.00,0.00,99.94,0.00,0,0.00,
,Slot_11,26,0,0,0.00,0.06,0,0,0,0,26,0,0.00,0.00,0.00,0.00,99.94,0.00,0,0.00,
,Slot_12,26,0,0,0.00,0.06,0,0,0,0,26,0,0.00,0.00,0.00,0.00,99.94,0.00,0,0.00,
,Slot_13,26,0,0,0.00,0.06,0,0,0,0,26,0,0.00,0.00,0.00,0.00,99.94,0.00,0,0.00,
,Slot_14,26,0,0,0.00,0.06,0,0,0,0,26,0,0.00,0.00,0.00,0.00,99.94,0.00,0,0.00,
,Slot_15,26,0,0,0.00,0.06,0,0,0,0,26,0,0.00,0.00,0.00,0.00,99.94,0.00,0,0.00,
,Slot_16,26,0,0,0.00,0.06,0,0,0,0,26,0,0.00,0.00,0.00,0.00,99.94,0.00,0,0.00,
,Slot_17,26,0,0,0.00,0.06,0,0,0,0,26,0,0.00,0.00,0.00,0.00,99.94,0.00,0,0.00,
,Slot_18,26,0,0,0.00,0.06,0,0,0,0,26,0,0.00,0.00,0.00,0.00,99.94,0.00,0,0.00,
,Slot_19,26,0,0,0.00,0.06,0,0,0,0,26,0,0.00,0.00,0.00,0.00,99.94,0.00,0,0.00,
,Slot_20,26,0,0,0.00,0.06,0,0,0,0,26,0,0.00,0.00,0.00,0.00,99.94,0.00,0,0.00,
